mira2:/data/2005 # cat mira_00000478
filename     : 'mira_00000478'
created at   : 05/17/2005 03:13:37
installation : FRM2
instrument   : MIRA
user         : mira
responsable  : Dr. Frankenstein 
phone        : +49(0)29383933
fax          : +49(0)30398773
********* data section starts here
*********************************************************
instrument general setup at file creation:
scan data:
 single sided theta/twotheta scan:
 from  0.000   90 steps of width  0.025
om/phi; [ time, mon1, mon2, tube1, tube2 ]
********* parameter log file section starts here
    degree     degree ;  sec.      cts      cts      cts      cts
*********************************************************
       om        phi ;  time     mon1     mon2    tube1    tube2
       0.0 0.031494140625 ; 250.0  4275725   488315        0        0
0.0050048828125 0.031494140625 ; 250.0  4274579   498686        0        0
0.0498046875 0.0928955078125 ; 250.0  4285891   603134        0        0
0.074951171875 0.147583007812 ; 250.0  4277700   658966        0        0
0.099853515625 0.192993164062 ; 250.0  4276559   715051        0        0
     0.125 0.24560546875 ; 250.0  4279586   769965        0        0
0.149780273438 0.2978515625 ; 250.0  4277632   821506        0        0
0.174926757812 0.346557617188 ; 250.0  4280600   832281        0        0
0.199829101562  0.3984375 ; 250.0  4269999   843837        0        0
0.224975585938 0.448974609375 ; 250.0  4273874   931177        0        0
0.249877929688 0.490600585938 ; 250.0  4277282   972020        0        0
0.27490234375 0.547729492188 ; 250.0  4276014   989198        0        0
0.2998046875 0.590576171875 ; 250.0  4263025   998680        0        0
0.324951171875 0.64453125 ; 250.0  4269679  1005099        0        0
0.349853515625 0.693969726562 ; 250.0  4274322  1004330        0        0
0.374877929688 0.746704101562 ; 250.0  4283304  1006898        0        0
0.399780273438 0.793579101562 ; 250.0  4277851  1004042        0        0
0.425048828125 0.845703125 ; 250.0  4277594  1006896        0        0
0.449829101562 0.897583007812 ; 250.0  4269086  1005051        0        0
0.474853515625 0.947631835938 ; 250.0  4265005  1003856        0        0
0.499877929688 0.996826171875 ; 250.0  4272178  1004025        0        0
0.525024414062 1.0458984375 ; 250.0  4275815  1002250        0        0
0.549926757812 1.09057617188 ; 250.0  4266241  1000968        0        0
0.574951171875  1.1484375 ; 250.0  4274536  1001625        0        0
0.599853515625 1.19750976562 ; 250.0  4262755  1000149        0        0
0.625122070312 1.24987792969 ; 250.0  4274648  1003059        0        0
0.64501953125 1.294921875 ; 250.0  4271390  1000382        0        0
0.674926757812 1.34643554688 ; 250.0  4267090   998688        0        0
0.699829101562 1.39770507812 ; 250.0  4270994   999878        0        0
0.724975585938 1.44580078125 ; 250.0  4273929   999304        0        0
0.749877929688 1.49182128906 ; 250.0  4268239   997403        0        0
0.77490234375 1.54614257812 ; 250.0  4264580   993968        0        0
0.7998046875 1.5927734375 ; 250.0  4282352   996910        0        0
0.824951171875 1.6435546875 ; 250.0  4272204   995771        0        0
0.849853515625 1.69323730469 ; 250.0  4267224   995298        0        0
     0.875 1.744140625 ; 250.0  4265267   995201        0        0
0.89990234375 1.79638671875 ; 250.0  4269139   996092        0        0
0.925048828125 1.84094238281 ; 250.0  4267181   994677        0        0
0.949951171875 1.8974609375 ; 250.0  4267200   997659        0        0
0.974975585938 1.94287109375 ; 250.0  4268108   996698        0        0
0.999877929688 1.99438476562 ; 250.0  4269018   994563        0        0
1.02502441406 2.04772949219 ; 250.0  4268093   991316        0        0
1.04992675781 2.09765625 ; 250.0  4270127   991166        0        0
1.07495117188 2.14477539062 ; 250.0  4262664   988181        0        0
1.09985351562 2.18835449219 ; 250.0  4255505   988139        0        0
     1.125 2.24658203125 ; 250.0  4253231   986428        0        0
1.14978027344 2.29675292969 ; 250.0  4256020   987368        0        0
1.17492675781    2.34375 ; 250.0  4271147   984120        0        0
1.19982910156 2.3955078125 ; 250.0  4272515   980439        0        0
1.22497558594 2.44543457031 ; 250.0  4278236   979898        0        0
1.24987792969 2.49780273438 ; 250.0  4273269   979854        0        0
1.27490234375 2.54772949219 ; 250.0  4270865   977653        0        0
1.2998046875 2.59497070312 ; 250.0  4272891   978129        0        0
1.32495117188 2.64538574219 ; 250.0  4286365   974690        0        0
1.34985351562 2.69372558594 ; 250.0  4279287   964834        0        0
1.37487792969 2.74609375 ; 250.0  4275173   951996        0        0
1.39978027344 2.79528808594 ; 250.0  4274118   932662        0        0
1.42492675781 2.84594726562 ; 250.0  4273096   896469        0        0
1.44982910156 2.89428710938 ; 250.0  4276390   833949        0        0
1.47485351562 2.94470214844 ; 250.0  4271434   750554        0        0
1.49987792969 2.98779296875 ; 250.0  4268945   649385        0        0
1.52490234375 3.04748535156 ; 250.0  4274466   523717        0        0
1.5498046875 3.09777832031 ; 250.0  4266729   422061        0        0
1.57482910156 3.14453125 ; 250.0  4269190   339093        0        0
1.59985351562 3.19555664062 ; 250.0  4271313   271210        0        0
     1.625 3.24853515625 ; 250.0  4281439   252335        0        0
1.64978027344 3.298828125 ; 250.0  4266888   221772        0        0
1.67492675781 3.34655761719 ; 250.0  4270069   166294        0        0
1.69995117188 3.39379882812 ; 250.0  4269655   132940        0        0
1.72497558594 3.44750976562 ; 250.0  4268551    98834        0        0
1.74987792969 3.494140625 ; 250.0  4263542    79026        0        0
1.77490234375 3.53942871094 ; 250.0  4267556    93651        0        0
1.7998046875 3.59680175781 ; 250.0  4267600   110052        0        0
1.82495117188 3.64782714844 ; 250.0  4265438   116687        0        0
1.84985351562 3.69360351562 ; 250.0  4268855   110571        0        0
     1.875 3.74670410156 ; 250.0  4267518   100638        0        0
1.89990234375 3.79565429688 ; 250.0  4258945    85478        0        0
1.92504882812 3.845703125 ; 250.0  4270633    69993        0        0
1.94995117188 3.89562988281 ; 250.0  4269804    60212        0        0
1.97497558594 3.94665527344 ; 250.0  4271325    55796        0        0
1.99987792969 3.99853515625 ; 250.0  4270954    56217        0        0
2.02502441406 4.05004882812 ; 250.0  4269068    63673        0        0
2.04992675781 4.05004882812 ; 250.0  4263556    74102        0        0
2.07495117188 4.14343261719 ; 250.0  4268602    76975        0        0
2.09985351562 4.193359375 ; 250.0  4264322    66247        0        0
     2.125 4.24670410156 ; 250.0  4267896    50601        0        0
2.14978027344 4.29272460938 ; 250.0  4265196    39494        0        0
2.17492675781 4.34643554688 ; 250.0  4264335    39153        0        0
2.19982910156 4.39270019531 ; 250.0  4271106    45081        0        0
2.22497558594 4.44470214844 ; 250.0  4267013    49782        0        0
